entry_time,exit_time,right,strike,entry_option,exit_option,pnl_dollar,pnl_pct,exit_reason,underlying,date
2026-02-27 14:45:00-05:00,2026-02-27 14:55:00-05:00,P,683.0,2.02,1.93,-10.96,-5.4,stop_loss,683.35,2026-02-27
2026-02-27 14:40:00-05:00,2026-02-27 15:00:00-05:00,P,682.0,1.56,1.47,-11.87,-7.6,stop_loss,683.65,2026-02-27
2026-02-27 15:05:00-05:00,2026-02-27 15:10:00-05:00,C,686.0,1.79,3.14,133.79,74.9,profit_target,685.22,2026-02-27
2026-02-27 15:20:00-05:00,2026-02-27 15:25:00-05:00,P,684.0,2.21,2.34,10.49,4.7,profit_target,685.59,2026-02-27
2026-02-27 15:30:00-05:00,2026-02-27 15:35:00-05:00,P,683.0,2.08,2.64,54.43,26.2,profit_target,684.63,2026-02-27
2026-02-27 15:40:00-05:00,2026-02-27 15:45:00-05:00,P,683.0,2.36,1.96,-41.15,-17.5,stop_loss,685.44,2026-02-27
2026-02-27 15:50:00-05:00,2026-02-27 15:55:00-05:00,P,684.0,2.3,2.18,-13.74,-6.0,stop_loss,686.28,2026-02-27
2026-03-02 13:05:00-05:00,2026-03-02 13:15:00-05:00,C,689.0,2.18,1.6,-60.49,-27.7,stop_loss,686.56,2026-03-02
2026-03-02 14:05:00-05:00,2026-03-02 14:10:00-05:00,P,685.0,1.23,1.08,-16.9,-13.7,stop_loss,686.93,2026-03-02
2026-03-02 14:15:00-05:00,2026-03-02 14:25:00-05:00,C,690.0,1.39,1.6,18.74,13.4,profit_target,688.2,2026-03-02
2026-03-02 14:20:00-05:00,2026-03-02 14:25:00-05:00,C,688.0,2.21,2.53,30.84,14.0,profit_target,688.2,2026-03-02
2026-03-02 14:30:00-05:00,2026-03-02 14:40:00-05:00,C,690.0,1.66,1.55,-12.3,-7.4,stop_loss,688.06,2026-03-02
2026-03-02 14:45:00-05:00,2026-03-02 14:55:00-05:00,C,690.0,1.6,1.51,-11.59,-7.2,stop_loss,688.2,2026-03-02
2026-03-02 14:50:00-05:00,2026-03-02 14:55:00-05:00,C,689.0,2.14,1.94,-22.4,-10.5,stop_loss,688.2,2026-03-02
2026-03-02 15:00:00-05:00,2026-03-02 15:50:00-05:00,C,689.0,1.87,2.63,73.82,39.4,profit_target,686.74,2026-03-02
2026-03-02 15:45:00-05:00,2026-03-02 15:55:00-05:00,P,684.0,2.35,2.18,-19.25,-8.2,stop_loss,686.37,2026-03-02
2026-03-03 15:15:00-05:00,2026-03-03 15:25:00-05:00,C,682.0,2.43,2.67,22.74,9.4,profit_target,681.05,2026-03-03
2026-03-03 15:50:00-05:00,2026-03-03 15:55:00-05:00,P,679.0,2.06,1.95,-13.73,-6.7,stop_loss,680.28,2026-03-03
2026-03-04 09:50:00-05:00,2026-03-04 11:50:00-05:00,P,679.0,2.41,2.46,3.35,1.4,max_hold_time,686.08,2026-03-04
2026-03-04 14:00:00-05:00,2026-03-04 14:05:00-05:00,C,687.0,1.21,1.05,-18.19,-15.1,stop_loss,686.73,2026-03-04
2026-03-04 14:10:00-05:00,2026-03-04 14:15:00-05:00,C,687.0,1.11,1.02,-10.83,-9.8,stop_loss,686.8,2026-03-04
